Date,mean_excess_5d,hit_rate_excess,n_picks
2016-01-08,-0.007024710695188707,0.4,5
2016-01-11,-0.008338852986842005,0.2,5
2016-01-12,-0.019837481527857713,0.2,5
2016-01-13,-0.016836376535757556,0.2,5
2016-01-14,0.03359615354400014,1.0,1
2016-01-15,0.021161953452508618,0.8,5
2016-01-19,0.010365162746011736,0.6,5
2016-01-20,0.0016639310950402608,0.6,5
2016-01-21,-0.008293250033322042,0.0,3
2016-01-22,-0.005608319420743385,0.75,4
2016-01-25,-0.023674298888393785,0.0,2
2016-01-26,-0.02574725987268711,0.0,1
2016-01-27,-0.024370213547020292,0.0,1
2016-01-28,0.012509422557187677,1.0,2
2016-02-02,-0.030453842528376768,0.5,4
2016-02-03,-0.044909404929096786,0.0,1
2016-02-04,-0.014877141758870893,0.0,1
2016-02-05,0.014566059219622418,0.8,5
2016-02-08,0.04436217519837893,1.0,5
2016-02-09,0.03558307376111784,1.0,5
2016-02-10,0.004541348750139207,0.6,5
2016-02-11,0.0247904678833756,0.6,5
2016-02-12,0.024335900115482145,0.6666666666666666,3
2016-02-16,0.024804341374586647,1.0,1
2016-03-08,0.003423450447054943,0.5,2
2016-03-09,0.022352641669751594,1.0,2
2016-03-10,0.016074838702468952,1.0,1
2016-03-29,-0.02506446917662497,0.0,1
2016-04-07,-0.032214508809164766,0.0,1
2016-04-08,0.003423139459388158,0.5,2
2016-04-11,-0.023260622271759512,0.0,1
2016-04-12,-0.01682544706813438,0.0,1
2016-04-13,-0.001127591334614264,0.0,1
2016-04-20,0.01055646244306585,1.0,1
2016-04-21,-0.019320098498318245,0.6666666666666666,3
2016-04-22,-0.0005432978081980991,0.6666666666666666,3
2016-04-25,-0.00030337873446081853,0.75,4
2016-04-26,0.012573070640834294,0.75,4
2016-04-27,0.00196821473361386,0.3333333333333333,3
2016-04-28,0.003971996275055012,0.5,2
2016-04-29,-0.00792469314062716,0.0,1
2016-05-02,0.0009241501117225326,1.0,1
2016-05-03,-0.017188937335570198,0.0,2
2016-05-04,0.001166404387849762,0.5,2
2016-05-05,0.00979337682533199,1.0,1
2016-05-09,-0.005452982309168464,0.0,1
2016-05-13,0.07219700783168315,1.0,1
2016-05-17,-0.0008258996855279588,0.25,4
2016-05-18,0.0947464940582976,1.0,1
2016-05-19,-0.022819688970070844,0.0,3
2016-05-20,-0.010857996037855533,0.0,2
2016-05-23,-0.007883210973829491,0.3333333333333333,3
2016-06-14,0.015453455162384389,1.0,2
2016-06-15,-0.0032304154568040624,0.6666666666666666,3
2016-06-27,-0.013236447994192279,0.2,5
2016-06-28,-0.019272329102775654,0.2,5
2016-06-30,0.002874130370513539,0.5,2
2016-07-07,0.01000180546904983,1.0,1
2016-07-26,-0.027410869200606314,0.0,1
2016-07-27,0.0009900149688837345,0.6666666666666666,3
2016-07-28,-0.004632264372200101,0.0,2
2016-07-29,2.8723943173714073e-05,0.5,2
2016-08-01,-0.004045389295440183,0.0,2
2016-08-02,-0.013579600790484259,0.0,1
2016-08-19,0.0007636888464498393,1.0,1
2016-08-25,0.02417042508585865,1.0,1
2016-08-26,-0.005043480268057898,0.0,1
2016-09-02,-0.0005573570273761375,0.0,1
2016-09-07,0.010892189066196156,1.0,1
2016-09-09,0.0051008177098647465,0.6,5
2016-09-12,-0.004342807499669532,0.0,1
2016-09-13,0.007246792421163728,0.8,5
2016-09-14,-0.00029909361692572747,0.4,5
2016-09-15,0.005338582677250514,1.0,1
2016-09-29,0.019424155984999025,0.5,2
2016-10-04,-0.00031469690014429563,0.0,1
2016-10-05,0.009500885773624623,1.0,1
2016-10-06,0.013434116592213274,1.0,1
2016-10-07,0.016540455135698646,1.0,3
2016-10-10,0.024127971417469623,1.0,3
2016-10-11,0.019547897862424946,1.0,2
2016-10-12,0.010080872113429637,1.0,3
2016-10-13,-0.005192854146725212,0.0,1
2016-10-17,-0.02433468039075959,0.0,1
2016-10-19,0.004142497460949339,0.6666666666666666,3
2016-10-20,0.009973071838256686,0.75,4
2016-10-21,0.013870862140436225,0.8,5
2016-10-24,0.017199528032472287,0.8,5
