week,start_date,mean_excess_5d,hit_rate_excess,n_picks
2016-01-26/2016-02-01,2016-02-01,0.03361041098494977,1.0,1
2016-02-02/2016-02-08,2016-02-04,0.024993230324685922,1.0,1
2016-02-09/2016-02-15,2016-02-09,-0.03240737751237277,0.0,2
2016-02-16/2016-02-22,2016-02-16,-0.0074451445984108355,0.0,2
2016-02-23/2016-02-29,2016-02-23,0.003027532010861922,0.3333333333333333,3
2016-03-01/2016-03-07,2016-03-01,0.021741642425742613,1.0,2
2016-03-08/2016-03-14,2016-03-08,-0.002006229458566278,0.6,5
2016-03-15/2016-03-21,2016-03-15,0.027144532710342385,1.0,5
2016-03-22/2016-03-28,2016-03-22,-0.005496650161935767,0.6,5
2016-03-29/2016-04-04,2016-03-29,0.003835587738120716,0.6,5
2016-04-05/2016-04-11,2016-04-05,-0.0059549799864664354,0.0,1
2016-04-12/2016-04-18,2016-04-12,-0.006214054029301641,0.0,1
2016-04-19/2016-04-25,2016-04-19,-0.012881714347157014,0.0,1
2016-04-26/2016-05-02,2016-04-29,0.024727486961025225,1.0,1
2016-05-03/2016-05-09,2016-05-03,0.0361869662578016,1.0,1
2016-05-10/2016-05-16,2016-05-10,0.006176101038963155,1.0,1
2016-05-17/2016-05-23,2016-05-17,-0.0018985418630153017,0.0,1
2016-05-24/2016-05-30,2016-05-24,0.01009588722698096,1.0,1
2016-05-31/2016-06-06,2016-06-01,-0.011185419730627477,0.0,1
2016-06-07/2016-06-13,2016-06-07,-0.007461476694826996,0.0,1
2016-06-14/2016-06-20,2016-06-14,0.0063963683516223835,1.0,1
2016-06-21/2016-06-27,2016-06-21,0.03844786538004219,1.0,1
2016-06-28/2016-07-04,2016-07-01,-0.021912940473584164,0.0,1
2016-07-05/2016-07-11,2016-07-05,-0.05013148205230489,0.0,1
2016-07-12/2016-07-18,2016-07-12,0.007867559076411679,1.0,1
2016-07-19/2016-07-25,2016-07-19,0.055518788531453644,1.0,1
2016-07-26/2016-08-01,2016-07-26,-0.01018109076442535,0.2,5
2016-08-02/2016-08-08,2016-08-02,0.02754295723253397,1.0,2
2016-08-09/2016-08-15,2016-08-09,0.035126951252618,1.0,2
2016-08-16/2016-08-22,2016-08-16,0.00031816983136701005,1.0,1
2016-08-23/2016-08-29,2016-08-23,-0.01883481354088451,0.0,2
2016-08-30/2016-09-05,2016-09-01,-0.03857605516539153,0.0,1
2016-10-04/2016-10-10,2016-10-07,0.008533297365152478,0.3333333333333333,3
2016-10-11/2016-10-17,2016-10-11,0.005946437751615852,1.0,1
2016-10-25/2016-10-31,2016-10-26,-0.014197544302441245,0.0,1
2016-11-08/2016-11-14,2016-11-08,0.061036958402007846,1.0,1
2016-11-15/2016-11-21,2016-11-15,-0.017599144633536807,0.0,3
2016-11-22/2016-11-28,2016-11-22,0.027691113578026266,1.0,3
2016-11-29/2016-12-05,2016-11-29,0.03741874086346306,0.75,4
2016-12-06/2016-12-12,2016-12-06,-0.004931028683920013,0.4,5
2016-12-13/2016-12-19,2016-12-13,0.018657929556247416,1.0,3
2016-12-20/2016-12-26,2016-12-20,0.018303989224390582,0.6666666666666666,3
2016-12-27/2017-01-02,2016-12-27,-0.03678231436309787,0.3333333333333333,3
2017-01-24/2017-01-30,2017-01-24,0.026114849671232232,1.0,1
2017-01-31/2017-02-06,2017-01-31,0.007835876630711391,1.0,1
2017-02-07/2017-02-13,2017-02-07,-0.05096442599619039,0.5,2
2017-02-14/2017-02-20,2017-02-14,0.004439358068176968,1.0,1
2017-02-21/2017-02-27,2017-02-21,0.010146935935641902,1.0,3
2017-02-28/2017-03-06,2017-02-28,0.007285527362964839,0.5,2
2017-03-07/2017-03-13,2017-03-07,-0.017653016659325838,0.0,1
2017-03-14/2017-03-20,2017-03-15,-0.0013929287626991416,0.0,1
2017-03-28/2017-04-03,2017-03-30,-0.07537894325808747,0.0,1
2017-04-25/2017-05-01,2017-04-25,-0.028790430603013673,0.0,1
2017-05-02/2017-05-08,2017-05-02,-0.02467581803269525,0.0,1
2017-05-09/2017-05-15,2017-05-09,0.017623529333039123,1.0,1
2017-05-16/2017-05-22,2017-05-16,-0.0034466324576412632,0.5,2
2017-06-06/2017-06-12,2017-06-08,-0.04728924758908848,0.0,1
2017-06-13/2017-06-19,2017-06-15,0.04319289559160289,1.0,1
2017-06-20/2017-06-26,2017-06-20,-0.05999103533031713,0.0,1
2017-06-27/2017-07-03,2017-06-30,0.005146700655696168,0.5,2
2017-07-04/2017-07-10,2017-07-05,-0.01759698058199599,0.0,1
2017-07-11/2017-07-17,2017-07-17,0.014818698691933196,1.0,1
2017-07-18/2017-07-24,2017-07-18,0.023017744653844208,1.0,1
2017-07-25/2017-07-31,2017-07-25,0.007981180139910782,1.0,1
2017-08-01/2017-08-07,2017-08-01,0.018028627410190068,1.0,2
2017-08-08/2017-08-14,2017-08-08,-0.0015991843620830244,0.6666666666666666,3
2017-08-15/2017-08-21,2017-08-15,0.004212322998435769,1.0,2
2017-08-22/2017-08-28,2017-08-22,0.00549040260940481,1.0,1
2017-09-05/2017-09-11,2017-09-08,-0.029251224177424207,0.0,1
2017-09-12/2017-09-18,2017-09-15,-0.007166154470034325,0.0,1
2017-09-19/2017-09-25,2017-09-19,-0.07858536729246712,0.0,1
2017-09-26/2017-10-02,2017-10-02,0.014544080631662792,1.0,1
2017-10-03/2017-10-09,2017-10-03,-0.00150420916721683,0.0,2
2017-10-10/2017-10-16,2017-10-10,0.04334562417100574,1.0,1
2017-10-17/2017-10-23,2017-10-19,-0.04470523122591763,0.0,1
2017-10-24/2017-10-30,2017-10-24,-0.0031378623498295455,0.25,4
2017-10-31/2017-11-06,2017-10-31,0.015460494915751133,1.0,4
2017-11-07/2017-11-13,2017-11-07,-0.004362795441071127,0.5,4
2017-11-14/2017-11-20,2017-11-14,-0.028829884124679017,0.0,1
2017-11-21/2017-11-27,2017-11-21,-0.028209874317974466,0.3333333333333333,3
2017-11-28/2017-12-04,2017-11-28,-0.0013063070141982047,0.5,2
2017-12-05/2017-12-11,2017-12-05,-0.004544770035162922,0.3333333333333333,3
2017-12-12/2017-12-18,2017-12-12,0.014044886309843352,0.75,4
2017-12-19/2017-12-25,2017-12-19,0.015050301709340333,0.6666666666666666,3
2017-12-26/2018-01-01,2017-12-26,-0.012680403667475063,0.0,3
2018-01-02/2018-01-08,2018-01-02,0.03832543845061731,1.0,1
2018-01-09/2018-01-15,2018-01-09,0.02395887898645029,0.3333333333333333,3
2018-01-16/2018-01-22,2018-01-16,0.002310930813382117,0.4,5
2018-01-23/2018-01-29,2018-01-23,0.019138750423325756,0.8,5
2018-01-30/2018-02-05,2018-01-30,0.025949523841338397,0.6,5
