week,start_date,mean_excess_5d,hit_rate_excess,n_picks
2016-02-16/2016-02-22,2016-02-18,-0.011528227985530881,0.0,1
2016-03-01/2016-03-07,2016-03-02,-0.007079227140788957,0.5,2
2016-03-08/2016-03-14,2016-03-08,0.0015848529060424887,0.6666666666666666,3
2016-03-15/2016-03-21,2016-03-15,0.023244273385852,1.0,3
2016-03-22/2016-03-28,2016-03-22,-0.021386001953971667,0.5,2
2016-04-12/2016-04-18,2016-04-18,-0.011390605587610514,0.0,1
2016-04-26/2016-05-02,2016-05-02,0.004005931055251821,1.0,1
2016-05-10/2016-05-16,2016-05-10,0.006176101038963155,1.0,1
2016-05-17/2016-05-23,2016-05-17,0.05810514682600876,1.0,1
2016-05-24/2016-05-30,2016-05-24,0.020420870902434274,1.0,1
2016-05-31/2016-06-06,2016-05-31,-0.017116178501064727,0.0,1
2016-06-07/2016-06-13,2016-06-07,0.029067188692939117,1.0,1
2016-07-19/2016-07-25,2016-07-25,0.017519158605061147,1.0,1
2016-07-26/2016-08-01,2016-07-26,-0.010334447134269842,0.25,4
2016-08-02/2016-08-08,2016-08-02,0.03865520590447802,1.0,1
2016-08-09/2016-08-15,2016-08-12,-0.012739245818892075,0.0,1
2016-08-16/2016-08-22,2016-08-16,0.00031816983136701005,1.0,1
2016-11-08/2016-11-14,2016-11-10,0.02417229283088107,1.0,2
2016-11-15/2016-11-21,2016-11-15,0.00580462750303698,0.25,4
2016-11-22/2016-11-28,2016-11-22,0.012538890706197459,0.5,2
2016-11-29/2016-12-05,2016-11-29,0.04352642198227219,0.5,2
2016-12-06/2016-12-12,2016-12-06,-0.02066690611143455,0.3333333333333333,3
2016-12-13/2016-12-19,2016-12-15,-0.005547067522760352,0.0,1
2016-12-20/2016-12-26,2016-12-20,-0.0012035223897631786,0.0,1
2016-12-27/2017-01-02,2016-12-27,-0.11158143704097634,0.0,1
2017-01-03/2017-01-09,2017-01-03,0.03830476264205229,1.0,1
2017-01-10/2017-01-16,2017-01-10,-0.03434152704720794,0.0,1
2017-01-31/2017-02-06,2017-01-31,0.007835876630711391,1.0,1
2017-02-28/2017-03-06,2017-03-01,0.007777695333886059,1.0,1
2017-05-09/2017-05-15,2017-05-10,0.06989758485770414,1.0,1
2017-05-16/2017-05-22,2017-05-16,0.0017330457401538713,1.0,1
2017-05-23/2017-05-29,2017-05-23,0.047628526991075004,1.0,1
2017-05-30/2017-06-05,2017-05-30,0.009968977162500448,1.0,1
2017-06-06/2017-06-12,2017-06-06,0.022045696510698987,1.0,1
2017-06-13/2017-06-19,2017-06-15,0.04319289559160289,1.0,1
2017-06-20/2017-06-26,2017-06-21,-0.05063303525740337,0.0,1
2017-07-25/2017-07-31,2017-07-26,0.0192356215591023,1.0,1
2017-08-01/2017-08-07,2017-08-01,0.018028627410190068,1.0,2
2017-08-08/2017-08-14,2017-08-08,0.0016553662165559313,1.0,1
2017-09-12/2017-09-18,2017-09-18,-0.08507949665487924,0.0,1
2017-09-19/2017-09-25,2017-09-19,-0.07858536729246712,0.0,1
2017-10-24/2017-10-30,2017-10-24,0.038620415843049205,1.0,1
